timestamp,product_name,price
2025-06-28 17:14:52,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:14:54,Boox Go Color 7,Unknown type 'None'
2025-06-28 17:15:21,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:15:23,Boox Go Color 7,Unknown type 'None'
2025-06-28 17:15:42,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:15:44,Boox Go Color 7,Unknown type 'None'
2025-06-28 17:18:15,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:18:17,Boox Go Color 7,Unknown type 'None'
2025-06-28 17:18:55,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:18:57,Boox Go Color 7,Unknown type 'None'
2025-06-28 17:19:19,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:19:21,Boox Go Color 7,Unknown type 'None'
2025-06-28 17:21:16,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:21:18,Boox Go Color 7,Unknown type 'None'
2025-06-28 17:29:23,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:29:25,Boox Go Color 7,Unknown type 'None'
2025-06-28 17:31:32,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:31:34,Boox Go Color 7,Unknown type 'None'
2025-06-28 17:42:45,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:43:10,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:43:12,Boox Go Color 7,Element not found
2025-06-28 17:44:16,100g Valcambi Gold Bar,Element not found
2025-06-28 17:44:18,Boox Go Color 7,Element not found
2025-06-28 17:48:36,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:48:38,Boox Go Color 7,Element not found
2025-06-28 17:49:11,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:51:51,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:53:05,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:53:47,Boox Go Color 7,"Error (dynamic): Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7d2d8cda5+78885]
	GetHandleVerifier [0x0x7ff7d2d8ce00+78976]
	(No symbol) [0x0x7ff7d2b49bca]
	(No symbol) [0x0x7ff7d2ba0766]
	(No symbol) [0x0x7ff7d2ba0a1c]
	(No symbol) [0x0x7ff7d2bf4467]
	(No symbol) [0x0x7ff7d2bc8bcf]
	(No symbol) [0x0x7ff7d2bf122f]
	(No symbol) [0x0x7ff7d2bc8963]
	(No symbol) [0x0x7ff7d2b916b1]
	(No symbol) [0x0x7ff7d2b92443]
	GetHandleVerifier [0x0x7ff7d3064eed+3061101]
	GetHandleVerifier [0x0x7ff7d305f33d+3037629]
	GetHandleVerifier [0x0x7ff7d307e592+3165202]
	GetHandleVerifier [0x0x7ff7d2da730e+186766]
	GetHandleVerifier [0x0x7ff7d2daeb3f+217535]
	GetHandleVerifier [0x0x7ff7d2d959b4+114740]
	GetHandleVerifier [0x0x7ff7d2d95b69+115177]
	GetHandleVerifier [0x0x7ff7d2d7c368+10728]
	BaseThreadInitThunk [0x0x7ffc92537374+20]
	RtlUserThreadStart [0x0x7ffc9301cc91+33]
"
2025-06-28 17:54:07,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:54:45,Boox Go Color 7,"Error (dynamic): Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7d2d8cda5+78885]
	GetHandleVerifier [0x0x7ff7d2d8ce00+78976]
	(No symbol) [0x0x7ff7d2b49bca]
	(No symbol) [0x0x7ff7d2ba0766]
	(No symbol) [0x0x7ff7d2ba0a1c]
	(No symbol) [0x0x7ff7d2bf4467]
	(No symbol) [0x0x7ff7d2bc8bcf]
	(No symbol) [0x0x7ff7d2bf122f]
	(No symbol) [0x0x7ff7d2bc8963]
	(No symbol) [0x0x7ff7d2b916b1]
	(No symbol) [0x0x7ff7d2b92443]
	GetHandleVerifier [0x0x7ff7d3064eed+3061101]
	GetHandleVerifier [0x0x7ff7d305f33d+3037629]
	GetHandleVerifier [0x0x7ff7d307e592+3165202]
	GetHandleVerifier [0x0x7ff7d2da730e+186766]
	GetHandleVerifier [0x0x7ff7d2daeb3f+217535]
	GetHandleVerifier [0x0x7ff7d2d959b4+114740]
	GetHandleVerifier [0x0x7ff7d2d95b69+115177]
	GetHandleVerifier [0x0x7ff7d2d7c368+10728]
	BaseThreadInitThunk [0x0x7ffc92537374+20]
	RtlUserThreadStart [0x0x7ffc9301cc91+33]
"
2025-06-28 17:55:00,100g Valcambi Gold Bar,"17954,00 BGN"
2025-06-28 17:55:38,Boox Go Color 7,"Error (dynamic): Message: 
Stacktrace:
	GetHandleVerifier [0x0x7ff7d2d8cda5+78885]
	GetHandleVerifier [0x0x7ff7d2d8ce00+78976]
	(No symbol) [0x0x7ff7d2b49bca]
	(No symbol) [0x0x7ff7d2ba0766]
	(No symbol) [0x0x7ff7d2ba0a1c]
	(No symbol) [0x0x7ff7d2bf4467]
	(No symbol) [0x0x7ff7d2bc8bcf]
	(No symbol) [0x0x7ff7d2bf122f]
	(No symbol) [0x0x7ff7d2bc8963]
	(No symbol) [0x0x7ff7d2b916b1]
	(No symbol) [0x0x7ff7d2b92443]
	GetHandleVerifier [0x0x7ff7d3064eed+3061101]
	GetHandleVerifier [0x0x7ff7d305f33d+3037629]
	GetHandleVerifier [0x0x7ff7d307e592+3165202]
	GetHandleVerifier [0x0x7ff7d2da730e+186766]
	GetHandleVerifier [0x0x7ff7d2daeb3f+217535]
	GetHandleVerifier [0x0x7ff7d2d959b4+114740]
	GetHandleVerifier [0x0x7ff7d2d95b69+115177]
	GetHandleVerifier [0x0x7ff7d2d7c368+10728]
	BaseThreadInitThunk [0x0x7ffc92537374+20]
	RtlUserThreadStart [0x0x7ffc9301cc91+33]
"

product_name,url,selector,type
100g Valcambi Gold Bar,https://tavex.bg/en/gold/100g-valcambi-gold-bar/,.product-poster__price-value.js-product-price-from,static
#Boox Go Color 7,https://www.citytel.bg/elektronen-chetec-boox-go-color-7-gen-2-black,.price,static
50g Valcambi Gold Bar, https://tavex.bg/en/gold/50g-valcambi-gold-bar/,.product-poster__price-value.js-product-price-from,static
1 oz Valcambi Gold Bars, https://tavex.bg/en/gold/1oz-gold-bar-valcambi/,.product-poster__price-value.js-product-price-from,static
sports gene,https://www.ciela.com/sportniyat-gen.html,#product-price-89687 .price,static
#Certina C0364071105001,https://julliany.com/produkti/certina-c0364071105001,#upper_price,dynamic
#Колекция Игра на тронове,https://www.ozone.bg/product/kolekcija-igra-na-tronove/,#product-price-33953,static
#Pocketbook Basic Lux 4,https://ardes.bg/product/pocketbook-basic-lux-4-pb618-6-8gb-cheren-pb618-p-ww-349747,#price-tag,dynamic
#Lenovo M11,https://ardes.bg/product/lenovo-tab-m11-luna-grey-zada0293gr-435060,#price-tag,dynamic
#Honor X9a,https://ardes.bg/product/honor-pad-x9a-space-gray-6936520864713-479436,#price-tag,dynamic
#Alienware oled,https://ardes.bg/product/26-7-alienware-aw2725q-aw2725q-476230,#price-tag,dynamic
Hbada E218 Ergonomic Office Chair,https://www.hbada.eu/products/hbada-e218-ergonomic-office-chair,div.product-info__price .text-on-sale .etrans-money,dynamic
#BOOX Go Color7 Gen II,https://ardes.bg/product/boox-go-color7-gen-ii-7-64gb-cheren-opc1337r-474260,#price-tag,dynamic
